account_id,customer_id,account_type,account_open_date,account_status
A00270,C0192,Savings,2024-08-07,Active
A00271,C0175,Savings,2024-06-11,Active
A00272,C0285,Savings,2024-08-07,Active
A00273,C0204,Wallet,2024-09-26,Active
A00274,C0164,Savings,2025-09-23,Active
A00275,C0251,Current,2025-02-03,Dormant
A00276,C0227,Wallet,2024-06-30,Active
A00277,C0007,Wallet,2025-09-09,Dormant
A00278,C0029,Savings,2025-12-29,Active
A00279,C0033,Savings,2024-07-23,Active
A00280,C0134,Savings,2025-08-04,Active
A00281,C0079,Wallet,2025-07-09,Active
A00282,C0058,Wallet,2024-08-15,Closed
A00283,C0026,Savings,2025-11-26,Active
A00284,C0226,Wallet,2025-09-10,Closed
A00285,C0285,Savings,2025-08-18,Active
A00286,C0004,Current,2024-09-06,Active
A00287,C0099,Savings,2025-03-16,Active
A00288,C0039,Wallet,2025-06-16,Active
A00289,C0271,Savings,2024-07-14,Closed
A00290,C0285,Wallet,2025-11-20,Active
A00291,C0157,Wallet,2025-06-02,Active
A00292,C0075,Current,2024-03-10,Active
A00293,C0288,Savings,2025-09-30,Active
A00294,C0130,Savings,2025-02-02,Active
A00295,C0175,Savings,2025-11-02,Active
A00296,C0084,Savings,2024-07-21,Dormant
A00297,C0022,Savings,2024-05-27,Active
A00298,C0027,Wallet,2025-04-16,Active
A00299,C0195,Current,2025-10-16,Active
A00300,C0236,Savings,2024-07-17,Active
A00301,C0092,Savings,2025-03-01,Closed
A00302,C0021,Savings,2025-10-27,Active
A00303,C0084,Current,2025-05-06,Active
A00304,C0262,Savings,2024-05-21,Active
A00305,C0147,Wallet,2024-11-08,Active
A00306,C0257,Savings,2024-06-13,Active
A00307,C0058,Wallet,2024-11-09,Closed
A00308,C0015,Wallet,2024-01-21,Active
A00309,C0162,Savings,2024-03-22,Closed
A00310,C0163,Wallet,2025-08-03,Active
A00311,C0281,Savings,2024-05-10,Active
A00312,C0280,Wallet,2025-08-21,Active
A00313,C0012,Savings,2025-12-30,Active
A00314,C0274,Wallet,2024-10-31,Dormant
A00315,C0271,Wallet,2025-01-05,Active
A00316,C0208,Wallet,2025-01-18,Dormant
A00317,C0027,Wallet,2025-03-20,Active
A00318,C0072,Savings,2025-02-28,Active
A00319,C0060,Savings,2024-06-09,Active
A00320,C0145,Savings,2024-06-26,Active
A00321,C0093,Savings,2025-09-20,Active
A00322,C0008,Current,2025-12-08,Dormant
A00323,C0079,Savings,2025-05-04,Active
A00324,C0027,Wallet,2024-11-22,Active
A00325,C0174,Current,2025-08-20,Active
A00326,C0050,Wallet,2024-10-15,Closed
A00327,C0199,Savings,2025-08-15,Active
A00328,C0181,Wallet,2025-10-25,Active
A00329,C0024,Wallet,2025-07-26,Active
A00330,C0046,Savings,2025-07-26,Active
A00331,C0015,Current,2024-12-19,Active
A00332,C0153,Wallet,2024-01-28,Active
A00333,C0222,Savings,2024-02-12,Active
A00334,C0206,Savings,2025-11-11,Active
A00335,C0273,Savings,2025-02-26,Active
A00336,C0236,Savings,2025-08-20,Active
A00337,C0228,Savings,2024-06-25,Active
A00338,C0009,Savings,2025-06-12,Dormant
A00339,C0166,Savings,2025-09-01,Active
A00340,C0214,Savings,2025-05-08,Dormant
A00341,C0117,Wallet,2024-07-16,Active
A00342,C0072,Savings,2025-09-01,Active
A00343,C0064,Wallet,2025-07-30,Active
A00344,C0205,Savings,2025-05-31,Active
A00345,C0209,Savings,2025-05-28,Active
A00346,C0072,Savings,2024-01-22,Active
A00347,C0277,Savings,2024-04-21,Active
A00348,C0274,Savings,2024-02-26,Active
A00349,C0095,Current,2024-03-06,Active
A00350,C0166,Savings,2024-04-07,Active
A00351,C0032,Current,2024-05-23,Active
A00352,C0011,Current,2025-03-10,Active
A00353,C0217,Savings,2025-09-28,Closed
A00354,C0289,Savings,2025-11-09,Closed
A00355,C0102,Wallet,2024-03-26,Active
A00356,C0267,Savings,2025-08-10,Active
A00357,C0214,Savings,2024-12-09,Active
A00358,C0179,Wallet,2024-10-20,Active
A00359,C0088,Savings,2025-07-24,Active
A00360,C0041,Current,2025-10-11,Active
A00361,C0076,Wallet,2025-09-02,Active
A00362,C0046,Savings,2025-12-04,Active
A00363,C0160,Savings,2024-08-30,Active
A00364,C0080,Savings,2025-07-14,Active
A00365,C0086,Savings,2024-02-01,Dormant
A00366,C0092,Savings,2025-01-25,Active
A00367,C0148,Current,2024-10-03,Active
A00368,C0161,Savings,2025-06-15,Dormant
A00369,C0202,Savings,2024-06-02,Active
A00370,C0242,Wallet,2025-01-17,Active
A00371,C0002,Wallet,2024-03-08,Active
A00372,C0225,Current,2024-08-01,Active
A00373,C0289,Savings,2025-10-16,Active
A00374,C0233,Current,2025-01-10,Active
A00375,C0077,Savings,2024-07-31,Closed
A00376,C0116,Savings,2024-03-19,Active
A00377,C0154,Savings,2025-12-26,Active
A00378,C0103,Wallet,2025-09-19,Active
A00379,C0194,Savings,2025-08-26,Active
A00380,C0166,Savings,2025-01-15,Active
A00381,C0090,Savings,2025-11-10,Active
A00382,C0174,Savings,2024-02-27,Active
A00383,C0122,Wallet,2024-01-26,Active
A00384,C0143,Current,2025-03-22,Closed
A00385,C0106,Wallet,2024-03-06,Active
A00386,C0123,Savings,2024-09-10,Active
A00387,C0009,Savings,2024-02-13,Active
A00388,C0262,Savings,2024-04-06,Closed
A00389,C0073,Savings,2025-07-07,Active
A00390,C0223,Savings,2024-08-14,Dormant
A00391,C0041,Wallet,2025-11-09,Active
A00392,C0204,Savings,2025-03-11,Active
A00393,C0264,Savings,2025-08-23,Active
A00394,C0178,Savings,2025-01-13,Active
A00395,C0084,Savings,2024-06-26,Active
A00396,C0111,Savings,2025-03-02,Active
A00397,C0251,Wallet,2025-12-09,Active
A00398,C0007,Wallet,2024-11-02,Active
A00399,C0084,Wallet,2025-05-18,Closed
A00400,C0208,Savings,2024-09-24,Active
A00401,C0022,Savings,2025-08-08,Closed
A00402,C0003,Savings,2024-01-08,Active
A00403,C0127,Savings,2025-05-22,Active
A00404,C0297,Wallet,2025-04-20,Active
A00405,C0188,Savings,2024-10-23,Active
A00406,C0014,Savings,2024-06-12,Active
A00407,C0012,Savings,2025-04-29,Active
A00408,C0087,Savings,2025-08-19,Active
A00409,C0012,Current,2024-03-12,Closed
A00410,C0025,Savings,2025-07-20,Dormant
A00411,C0243,Savings,2025-07-12,Active
A00412,C0122,Savings,2024-08-25,Dormant
A00413,C0147,Savings,2024-04-13,Active
A00414,C0055,Wallet,2024-07-28,Active
A00415,C0238,Wallet,2025-07-07,Active
A00416,C0173,Wallet,2025-04-12,Active
A00417,C0221,Wallet,2025-03-29,Active
A00418,C0119,Savings,2024-09-24,Active
A00419,C0183,Current,2025-01-20,Active
A00420,C0288,Savings,2025-01-21,Active
A00421,C0300,Savings,2024-09-15,Active
A00422,C0082,Wallet,2024-10-09,Active
A00423,C0211,Savings,2025-09-17,Active
A00424,C0150,Wallet,2024-02-09,Active
A00425,C0037,Savings,2025-04-30,Active
A00426,C0059,Current,2024-08-07,Active
A00427,C0131,Current,2024-05-08,Dormant
A00428,C0202,Wallet,2025-06-03,Active
A00429,C0243,Current,2025-09-04,Active
A00430,C0035,Current,2025-11-18,Dormant
A00431,C0093,Savings,2025-09-10,Active
A00432,C0207,Savings,2025-09-04,Active
A00433,C0213,Savings,2024-09-16,Active
A00434,C0159,Current,2024-12-31,Active
A00435,C0024,Savings,2025-06-27,Active
A00436,C0293,Current,2025-10-10,Active
A00437,C0004,Savings,2025-06-07,Dormant
A00438,C0220,Savings,2024-01-16,Active
A00439,C0020,Current,2024-05-08,Active
A00440,C0152,Savings,2025-07-28,Active
A00441,C0050,Savings,2024-04-18,Active
A00442,C0177,Savings,2025-06-16,Active
A00443,C0096,Wallet,2025-10-31,Active
A00444,C0105,Current,2024-09-25,Dormant
A00445,C0250,Savings,2024-06-10,Active
A00446,C0117,Savings,2024-09-16,Active
A00447,C0228,Savings,2024-04-11,Active
A00448,C0066,Wallet,2025-05-20,Active
A00449,C0262,Current,2025-07-24,Active
A00450,C0295,Savings,2024-09-03,Active
