dispute_id,transaction_id,dispute_date,dispute_reason,dispute_amount,resolution
D00037,T001854,2025-10-22,Fraud,247.61,Won
D00038,T000440,2025-07-24,Service_Not_Received,908.88,Pending
D00039,T004935,2024-10-18,Service_Not_Received,654.06,Won
D00040,T003006,2024-05-28,Service_Not_Received,1696.6,Won
D00041,T004024,2025-01-26,Service_Not_Received,574.12,Pending
D00042,T004255,2024-03-06,Duplicate,555.58,Won
D00043,T002459,2025-08-16,Wrong_Amount,1505.89,Won
D00044,T004046,2025-12-24,Duplicate,1571.33,Won
D00045,T002809,2024-03-21,Service_Not_Received,474.8,Pending
D00046,T004302,2024-01-17,Service_Not_Received,1756.38,Won
D00047,T000442,2025-08-06,Wrong_Amount,7827.34,Lost
D00048,T001228,2025-04-09,Unauthorized,752.03,Won
D00049,T000615,2025-06-07,Fraud,410.44,Won
D00050,T002411,2025-03-27,Service_Not_Received,1146.37,Won
D00051,T004246,2025-06-25,Service_Not_Received,363.07,Pending
D00052,T000249,2024-04-25,Duplicate,891.59,Lost
D00053,T000587,2025-03-26,Service_Not_Received,732.13,Lost
D00054,T004055,2024-02-04,Service_Not_Received,1908.01,Won
D00055,T000571,2025-02-04,Fraud,269.06,Won
D00056,T002354,2025-06-30,Duplicate,310.1,Lost
D00057,T001676,2024-04-15,Unauthorized,1488.33,Lost
D00058,T002880,2024-05-26,Service_Not_Received,1692.48,Lost
D00059,T002707,2025-06-02,Service_Not_Received,196.82,Won
D00060,T002497,2025-04-11,Unauthorized,3702.1,Pending
D00061,T004875,2025-12-01,Wrong_Amount,2209.51,Won
D00062,T001266,2024-06-10,Unauthorized,640.82,Won
D00063,T003080,2024-09-02,Unauthorized,1183.76,Pending
D00064,T004220,2024-06-27,Duplicate,226.63,Lost
D00065,T002908,2024-11-23,Unauthorized,1926.33,Won
D00066,T000135,2025-11-01,Duplicate,557.23,Lost
D00067,T003087,2024-11-07,Unauthorized,824.88,Won
D00068,T001563,2024-08-24,Service_Not_Received,1004.35,Won
D00069,T000809,2025-01-01,Service_Not_Received,2883.03,Lost
D00070,T002671,2025-03-05,Wrong_Amount,1593.78,Won
D00071,T000316,2024-03-16,Unauthorized,822.51,Won
D00072,T000640,2025-09-13,Fraud,684.43,Won
D00073,T003476,2025-09-29,Unauthorized,1313.37,Won
D00074,T003815,2025-01-24,Fraud,1024.12,Won
D00075,T004641,2025-09-04,Unauthorized,903.73,Pending
D00076,T000160,2025-02-22,Duplicate,1101.91,Lost
D00077,T003787,2024-09-25,Service_Not_Received,883.29,Won
D00078,T001230,2025-04-09,Fraud,313.49,Lost
D00079,T003282,2025-02-07,Fraud,1047.29,Pending
D00080,T002460,2025-09-30,Unauthorized,1077.72,Lost
D00081,T000799,2024-12-27,Service_Not_Received,1219.83,Won
D00082,T004182,2025-05-30,Wrong_Amount,491.42,Won
D00083,T000053,2024-12-01,Fraud,578.29,Pending
D00084,T003969,2025-07-11,Service_Not_Received,4069.88,Won
D00085,T004520,2024-03-18,Service_Not_Received,606.39,Won
D00086,T000485,2024-06-16,Fraud,1648.09,Lost
D00087,T004421,2025-06-14,Duplicate,579.7,Won
D00088,T002848,2025-02-12,Duplicate,241.56,Pending
D00089,T003706,2024-12-09,Unauthorized,1009.17,Pending
D00090,T003121,2025-04-21,Unauthorized,1790.47,Lost
D00091,T002989,2024-04-15,Service_Not_Received,839.68,Pending
D00092,T003001,2024-08-23,Fraud,222.08,Won
D00093,T004805,2024-07-22,Duplicate,183.71,Lost
D00094,T003254,2025-08-08,Service_Not_Received,2759.71,Lost
D00095,T004978,2024-08-06,Duplicate,1084.2,Won
D00096,T002663,2024-08-13,Fraud,1782.41,Pending
D00097,T001301,2024-04-12,Duplicate,1319.92,Pending
D00098,T001404,2025-01-11,Wrong_Amount,436.89,Pending
D00099,T000487,2025-01-19,Unauthorized,893.68,Lost
D00100,T001483,2024-12-11,Duplicate,282.14,Won
D00101,T001942,2025-12-22,Fraud,2337.03,Won
D00102,T003272,2025-03-15,Fraud,1415.77,Won
D00103,T000698,2025-04-13,Wrong_Amount,1983.29,Won
D00104,T000669,2025-12-09,Fraud,3079.55,Won
D00105,T000925,2025-03-11,Wrong_Amount,824.62,Lost
D00106,T004818,2024-07-03,Service_Not_Received,605.99,Lost
D00107,T001585,2025-12-24,Duplicate,1007.58,Won
D00108,T003918,2024-09-19,Fraud,3023.27,Won
D00109,T002402,2024-07-13,Unauthorized,313.25,Won
D00110,T000176,2025-05-03,Duplicate,1114.93,Lost
D00111,T004906,2025-05-11,Wrong_Amount,2088.02,Pending
D00112,T002609,2025-02-01,Duplicate,1403.02,Lost
D00113,T004998,2025-02-21,Duplicate,2587.67,Won
D00114,T001698,2024-06-23,Fraud,321.17,Won
D00115,T001353,2024-09-18,Unauthorized,2617.11,Lost
D00116,T000289,2024-11-28,Service_Not_Received,665.56,Won
D00117,T001899,2025-12-14,Unauthorized,205.18,Pending
D00118,T004043,2025-06-28,Wrong_Amount,844.34,Won
D00119,T004163,2024-05-06,Unauthorized,560.52,Won
D00120,T000811,2025-07-30,Unauthorized,961.73,Won
D00121,T000645,2024-12-23,Wrong_Amount,325.08,Lost
D00122,T002442,2024-05-16,Unauthorized,993.71,Won
D00123,T000913,2024-11-28,Service_Not_Received,692.34,Won
D00124,T001694,2025-08-10,Duplicate,5379.43,Won
D00125,T003342,2025-05-06,Service_Not_Received,1260.22,Won
D00126,T003400,2025-03-02,Duplicate,1316.33,Pending
D00127,T000718,2025-08-22,Duplicate,913.71,Won
D00128,T002883,2024-09-15,Unauthorized,2975.06,Won
D00129,T003725,2025-07-11,Duplicate,1616.85,Won
D00130,T004081,2025-04-15,Wrong_Amount,3679.34,Won
D00131,T004649,2024-06-15,Service_Not_Received,2548.95,Lost
D00132,T000076,2025-10-31,Duplicate,805.8,Won
D00133,T001950,2024-01-29,Unauthorized,1965.8,Lost
D00134,T003210,2025-04-01,Unauthorized,2103.37,Pending
D00135,T003956,2024-11-13,Unauthorized,2335.04,Won
D00136,T000274,2024-09-15,Fraud,1511.9,Pending
D00137,T000612,2025-08-03,Service_Not_Received,374.35,Pending
D00138,T000110,2025-07-21,Unauthorized,1071.31,Won
D00139,T000903,2025-04-13,Wrong_Amount,1198.57,Won
D00140,T000739,2025-01-07,Unauthorized,1160.72,Pending
D00141,T004428,2024-03-06,Fraud,2746.02,Lost
D00142,T001752,2024-01-25,Service_Not_Received,655.5,Won
D00143,T003356,2025-09-05,Duplicate,1222.78,Won
D00144,T000065,2024-08-28,Service_Not_Received,1037.26,Lost
D00145,T002726,2024-05-07,Duplicate,1894.7,Won
D00146,T003721,2025-07-04,Duplicate,4666.28,Lost
D00147,T003688,2025-09-09,Unauthorized,1804.48,Lost
D00148,T001160,2024-04-10,Wrong_Amount,1711.26,Pending
D00149,T003973,2025-08-29,Wrong_Amount,484.99,Lost
D00150,T004253,2024-09-20,Unauthorized,318.98,Lost
D00151,T001412,2024-09-20,Fraud,1345.56,Lost
D00152,T001003,2025-03-10,Duplicate,944.63,Won
D00153,T000146,2024-08-11,Wrong_Amount,1584.89,Lost
D00154,T000276,2025-06-18,Service_Not_Received,671.6,Lost
D00155,T001418,2025-09-16,Fraud,3368.88,Pending
D00156,T001005,2025-07-15,Unauthorized,421.18,Lost
D00157,T002196,2024-03-11,Fraud,937.48,Lost
D00158,T000378,2024-03-17,Wrong_Amount,801.85,Won
D00159,T002384,2024-12-17,Unauthorized,2639.01,Pending
D00160,T002867,2025-06-29,Wrong_Amount,911.51,Won
D00161,T000867,2024-01-20,Duplicate,690.62,Pending
D00162,T000439,2025-08-21,Fraud,1169.77,Won
D00163,T002942,2025-09-24,Duplicate,583.37,Won
D00164,T002016,2025-09-10,Service_Not_Received,1077.27,Pending
D00165,T003885,2025-06-08,Duplicate,988.51,Lost
D00166,T004763,2025-04-19,Fraud,11063.22,Lost
D00167,T004430,2025-01-04,Service_Not_Received,757.49,Won
D00168,T004090,2024-08-20,Wrong_Amount,1020.96,Pending
D00169,T003239,2025-01-15,Service_Not_Received,1305.74,Lost
D00170,T002156,2025-07-28,Fraud,1364.47,Won
D00171,T003888,2025-01-12,Unauthorized,2526.35,Pending
D00172,T000982,2025-02-07,Service_Not_Received,5100.04,Lost
D00173,T002408,2024-11-04,Wrong_Amount,577.76,Won
D00174,T002301,2025-06-02,Service_Not_Received,1557.62,Won
D00175,T001642,2024-10-28,Duplicate,961.48,Lost
D00176,T002143,2024-07-09,Unauthorized,1428.35,Pending
D00177,T001130,2024-11-08,Fraud,2665.91,Won
D00178,T003333,2025-09-25,Unauthorized,4032.47,Lost
D00179,T003225,2024-10-24,Duplicate,2207.72,Lost
D00180,T002789,2025-08-13,Unauthorized,1411.28,Won
D00181,T004205,2024-03-08,Duplicate,2492.57,Won
D00182,T004825,2024-11-29,Service_Not_Received,559.41,Lost
D00183,T002681,2025-05-07,Fraud,613.62,Lost
D00184,T003082,2025-07-09,Duplicate,1254.83,Lost
D00185,T003981,2024-08-22,Duplicate,2782.27,Pending
D00186,T001650,2025-11-26,Service_Not_Received,865.67,Lost
D00187,T002417,2024-12-22,Duplicate,941.68,Lost
D00188,T003553,2024-08-15,Fraud,224.55,Won
D00189,T001734,2024-12-01,Wrong_Amount,7410.48,Won
D00190,T003627,2025-08-17,Unauthorized,912.38,Lost
D00191,T000109,2024-01-29,Duplicate,122.37,Lost
D00192,T000398,2025-05-08,Unauthorized,1253.49,Won
D00193,T003362,2024-05-27,Unauthorized,1600.87,Lost
D00194,T002727,2024-02-07,Wrong_Amount,912.34,Lost
D00195,T004640,2025-01-25,Duplicate,529.46,Won
D00196,T001274,2025-09-02,Fraud,2249.04,Lost
D00197,T003157,2024-06-04,Duplicate,2051.9,Won
D00198,T000305,2025-10-27,Unauthorized,1670.44,Lost
D00199,T001297,2025-03-28,Service_Not_Received,595.03,Lost
D00200,T003893,2024-12-03,Wrong_Amount,673.84,Lost
D00201,T002097,2024-05-15,Fraud,828.52,Won
D00202,T001172,2024-11-09,Fraud,787.15,Won
D00203,T004344,2024-12-20,Unauthorized,1808.58,Won
D00204,T001423,2024-07-11,Fraud,799.61,Lost
D00205,T000716,2024-08-09,Unauthorized,512.88,Won
D00206,T003984,2024-06-28,Fraud,1538.49,Won
D00207,T004630,2024-02-24,Fraud,7341.46,Pending
D00208,T003563,2025-10-09,Unauthorized,584.37,Won
D00209,T000477,2025-07-23,Wrong_Amount,621.63,Won
D00210,T000375,2024-03-29,Fraud,994.36,Lost
D00211,T000312,2025-05-08,Duplicate,2008.32,Lost
D00212,T000462,2024-12-27,Service_Not_Received,1724.29,Won
D00213,T001783,2024-10-12,Unauthorized,997.7,Lost
D00214,T002337,2024-06-28,Fraud,773.66,Won
D00215,T004429,2024-04-09,Wrong_Amount,5880.68,Won
D00216,T001378,2025-10-24,Duplicate,2738.47,Won
D00217,T000527,2025-07-18,Unauthorized,4394.82,Won
D00218,T000123,2025-09-04,Duplicate,1924.27,Lost
D00219,T001141,2024-06-17,Service_Not_Received,1017.63,Won
D00220,T002623,2025-11-16,Wrong_Amount,1508.69,Lost
D00221,T002982,2025-08-12,Unauthorized,4653.25,Won
D00222,T004709,2024-08-24,Unauthorized,1654.23,Won
D00223,T001073,2025-03-06,Fraud,277.37,Won
D00224,T004942,2025-01-10,Duplicate,3367.32,Won
D00225,T003812,2024-12-25,Unauthorized,3631.84,Won
D00226,T003516,2024-06-08,Duplicate,2950.78,Lost
D00227,T004339,2024-03-21,Service_Not_Received,374.59,Pending
D00228,T002216,2025-06-14,Fraud,1494.44,Lost
D00229,T002500,2024-03-13,Service_Not_Received,2490.67,Lost
D00230,T004143,2025-08-24,Fraud,1110.72,Won
D00231,T004975,2024-01-30,Fraud,1487.4,Lost
D00232,T001206,2025-08-23,Duplicate,1716.37,Lost
D00233,T004330,2025-05-14,Fraud,566.16,Won
D00234,T003341,2024-07-08,Service_Not_Received,1597.2,Pending
D00235,T002749,2024-12-01,Service_Not_Received,498.44,Won
D00236,T002169,2025-04-19,Service_Not_Received,1010.14,Won
D00237,T003583,2024-05-29,Duplicate,691.45,Won
D00238,T000241,2025-03-17,Duplicate,2209.04,Pending
D00239,T001200,2025-11-24,Wrong_Amount,1872.55,Pending
D00240,T004664,2025-07-09,Unauthorized,1726.59,Pending
D00241,T002636,2024-12-01,Wrong_Amount,1374.07,Lost
D00242,T003894,2024-12-15,Wrong_Amount,1554.24,Lost
D00243,T004917,2025-06-10,Fraud,5470.14,Won
D00244,T000525,2024-07-03,Fraud,3163.59,Won
D00245,T003074,2024-05-22,Wrong_Amount,508.13,Pending
D00246,T002771,2025-11-24,Unauthorized,715.3,Won
D00247,T003831,2025-03-07,Wrong_Amount,928.06,Won
D00248,T002190,2025-02-14,Duplicate,903.36,Won
D00249,T004895,2024-03-15,Service_Not_Received,565.9,Won
D00250,T004791,2024-05-10,Wrong_Amount,1753.47,Won
D00251,T003240,2025-10-10,Fraud,1044.35,Won
D00252,T002526,2025-05-01,Unauthorized,1305.08,Won
D00253,T003377,2025-02-14,Fraud,279.37,Won
D00254,T001316,2025-12-12,Duplicate,311.6,Won
D00255,T000668,2025-09-02,Fraud,711.26,Pending
D00256,T003506,2024-08-19,Fraud,1783.55,Lost
D00257,T004214,2025-10-30,Unauthorized,1607.48,Lost
D00258,T003036,2025-05-05,Unauthorized,2455.31,Lost
D00259,T003215,2025-09-07,Fraud,626.03,Won
D00260,T003190,2024-10-08,Fraud,1897.97,Pending
D00261,T004932,2024-03-30,Wrong_Amount,3730.06,Pending
D00262,T002017,2024-03-23,Duplicate,2301.42,Won
D00263,T003862,2025-04-03,Wrong_Amount,389.98,Won
D00264,T002414,2024-11-07,Unauthorized,2660.51,Lost
D00265,T002133,2025-05-02,Wrong_Amount,1423.73,Won
D00266,T001405,2024-06-22,Wrong_Amount,1577.06,Pending
D00267,T000969,2024-01-22,Fraud,8074.48,Lost
D00268,T001944,2025-05-13,Fraud,1335.78,Won
D00269,T003850,2024-04-11,Duplicate,1817.05,Won
D00270,T003314,2024-06-03,Service_Not_Received,1182.08,Lost
D00271,T000340,2025-07-08,Service_Not_Received,902.7,Won
D00272,T004455,2025-06-22,Wrong_Amount,1468.01,Pending
D00273,T001515,2025-08-11,Duplicate,773.01,Won
D00274,T003873,2024-12-22,Duplicate,1232.01,Pending
D00275,T000418,2025-12-01,Unauthorized,861.47,Won
D00276,T004005,2024-08-17,Fraud,207.95,Lost
D00277,T002007,2025-06-03,Unauthorized,739.97,Won
D00278,T001727,2025-09-04,Service_Not_Received,2355.33,Won
D00279,T000792,2024-03-28,Duplicate,1662.04,Lost
D00280,T002427,2025-08-17,Service_Not_Received,909.22,Won
D00281,T002080,2024-03-23,Fraud,1186.62,Won
D00282,T000720,2024-08-24,Fraud,575.72,Won
D00283,T001114,2025-02-03,Fraud,627.5,Won
D00284,T002292,2024-10-25,Service_Not_Received,1102.51,Won
D00285,T000078,2024-05-15,Duplicate,922.78,Lost
D00286,T003940,2025-03-30,Unauthorized,600.13,Won
D00287,T004580,2025-04-15,Duplicate,1039.66,Won
D00288,T001577,2024-06-26,Duplicate,450.28,Won
D00289,T002110,2024-10-03,Wrong_Amount,3863.65,Pending
D00290,T003908,2024-04-15,Duplicate,2245.03,Pending
D00291,T004841,2024-12-15,Unauthorized,193.0,Lost
D00292,T003813,2025-08-22,Wrong_Amount,2144.94,Pending
D00293,T000613,2024-11-23,Duplicate,813.8,Pending
D00294,T001374,2025-09-07,Wrong_Amount,708.15,Won
D00295,T004613,2025-04-24,Duplicate,2003.02,Won
D00296,T004961,2025-10-16,Fraud,978.04,Won
D00297,T000192,2025-02-18,Fraud,804.56,Won
D00298,T001069,2025-07-28,Duplicate,378.83,Lost
D00299,T003361,2025-09-03,Wrong_Amount,2281.21,Lost
D00300,T004994,2025-05-13,Unauthorized,2512.95,Lost
D00301,T001368,2025-10-31,Fraud,1247.69,Won
D00302,T000964,2025-10-22,Wrong_Amount,431.52,Lost
D00303,T000018,2025-10-02,Unauthorized,1396.99,Won
D00304,T002662,2024-10-17,Wrong_Amount,1831.44,Won
D00305,T001367,2024-03-20,Duplicate,1073.59,Pending
D00306,T003723,2025-12-13,Fraud,2219.99,Won
D00307,T000987,2024-08-02,Fraud,1255.94,Won
D00308,T004197,2025-04-26,Fraud,1398.67,Lost
D00309,T004104,2025-03-23,Duplicate,3584.49,Pending
D00310,T000689,2024-05-31,Unauthorized,739.91,Won
D00311,T004150,2024-03-06,Unauthorized,312.79,Lost
D00312,T002119,2025-04-10,Fraud,957.94,Pending
D00313,T000120,2024-06-20,Unauthorized,698.54,Won
D00314,T000901,2024-08-07,Fraud,351.6,Won
D00315,T002377,2024-12-21,Unauthorized,1803.52,Lost
D00316,T003038,2024-11-25,Fraud,1097.36,Won
D00317,T004509,2024-05-29,Unauthorized,255.46,Won
D00318,T000656,2024-03-29,Wrong_Amount,3777.98,Pending
D00319,T001937,2025-04-07,Fraud,612.58,Lost
D00320,T004337,2024-03-23,Fraud,670.01,Won
D00321,T003521,2025-07-28,Service_Not_Received,2329.15,Won
D00322,T002919,2024-08-03,Fraud,1544.66,Lost
D00323,T000511,2025-08-10,Unauthorized,2626.74,Won
D00324,T002599,2024-06-29,Wrong_Amount,191.71,Lost
D00325,T001552,2025-11-05,Wrong_Amount,872.33,Lost
D00326,T000331,2024-05-14,Unauthorized,1220.6,Won
D00327,T004272,2024-04-20,Duplicate,3106.44,Pending
D00328,T002929,2025-01-25,Fraud,557.95,Pending
D00329,T001489,2025-05-19,Wrong_Amount,835.05,Won
D00330,T000543,2024-03-07,Unauthorized,1227.38,Won
D00331,T004312,2024-01-23,Wrong_Amount,2016.49,Won
D00332,T003639,2024-12-10,Wrong_Amount,451.5,Won
D00333,T002379,2024-09-21,Unauthorized,2099.22,Won
D00334,T001673,2025-01-08,Service_Not_Received,683.98,Won
D00335,T002595,2024-12-28,Wrong_Amount,1480.71,Won
D00336,T004794,2024-05-17,Wrong_Amount,939.73,Won
D00337,T004013,2025-10-09,Duplicate,1366.44,Won
D00338,T001804,2024-07-31,Service_Not_Received,1299.42,Won
D00339,T000754,2025-02-28,Duplicate,3046.07,Won
D00340,T000131,2025-01-28,Unauthorized,908.22,Won
D00341,T004105,2025-06-02,Fraud,861.01,Pending
D00342,T001597,2024-04-18,Unauthorized,2577.84,Won
D00343,T002689,2024-02-13,Service_Not_Received,3361.81,Pending
D00344,T003228,2024-04-15,Unauthorized,798.7,Won
D00345,T004912,2025-09-01,Service_Not_Received,1908.12,Lost
D00346,T000854,2024-01-29,Duplicate,553.85,Won
D00347,T003353,2025-10-30,Wrong_Amount,1917.04,Pending
D00348,T002759,2025-04-18,Unauthorized,2289.49,Won
D00349,T001126,2024-02-06,Unauthorized,879.92,Pending
D00350,T001277,2024-12-05,Wrong_Amount,2666.9,Won
