transaction_id,account_id,merchant_id,transaction_timestamp,transaction_type,amount,payment_channel,status,currency
T000023,A00079,M0027,2025-09-10 13:27:27,Purchase,102000.0,NetBanking,Success,INR
T000024,A00236,M0018,2024-09-01 13:49:17,Transfer,103000.0,Card,Success,INR
T000025,A00383,M0060,2025-03-25 19:13:21,Purchase,104000.0,Card,Success,INR
T000026,A00273,M0074,2024-09-03 22:44:04,Refund,105000.0,UPI,Success,INR
T000027,A00161,M0069,2025-06-03 19:49:48,Purchase,106000.0,NetBanking,Success,INR
T000028,A00175,M0074,2024-05-20 01:31:02,Purchase,107000.0,NetBanking,Failed,INR
T000029,A00366,M0021,2024-12-27 08:49:55,Transfer,108000.0,Card,Success,INR
T000030,A00308,M0024,2024-01-08 19:23:26,Purchase,109000.0,UPI,Success,INR
T000031,A00374,M0003,2025-04-22 13:27:45,Purchase,1093.33,UPI,Success,INR
T000032,A00221,M0095,2024-12-17 16:58:29,Purchase,607.86,Card,Success,INR
T000033,A00009,M0062,2025-05-09 14:02:08,Refund,3054.16,Card,Success,INR
T000034,A00289,M0002,2025-08-28 10:03:50,Purchase,295.06,UPI,Success,INR
T000035,A00444,M0066,2025-03-02 13:24:02,Purchase,3540.66,NetBanking,Success,INR
T000036,A00113,M0042,2024-02-08 18:18:03,Purchase,833.92,UPI,Success,INR
T000037,A00205,M0034,2025-08-15 00:29:43,Purchase,678.46,UPI,Success,INR
T000038,A00405,M0042,2024-07-05 07:53:10,Purchase,623.3,NetBanking,Success,INR
T000039,A00186,M0020,2025-08-18 02:20:17,Bill_Payment,5584.69,Card,Success,INR
T000040,A00341,M0097,2025-08-22 20:01:42,Refund,258.71,NetBanking,Success,INR
T000041,A00197,M0068,2024-04-02 04:50:26,Purchase,677.66,UPI,Success,INR
T000042,A00266,M0045,2024-03-26 08:32:30,Transfer,343.2,UPI,Failed,INR
T000043,A00262,M0075,2024-02-13 16:09:48,Refund,214.59,UPI,Success,INR
T000044,A00248,M0042,2024-05-16 03:01:12,Purchase,3550.2,UPI,Success,INR
T000045,A00115,M0047,2025-02-24 13:21:26,Purchase,1070.18,NetBanking,Success,INR
T000046,A00121,M0005,2024-03-14 18:32:50,Bill_Payment,385.77,UPI,Success,INR
T000047,A00141,M0089,2025-07-01 23:11:54,Withdrawal,2312.72,ATM,Success,INR
T000048,A00065,M0049,2025-09-04 09:38:40,Purchase,764.62,NetBanking,Failed,INR
T000049,A00276,M0037,2025-05-26 05:01:19,Purchase,612.83,Card,Success,INR
T000050,A00313,M0034,2024-06-04 04:48:58,Purchase,1840.59,ATM,Success,INR
T000051,A00239,M0073,2024-09-11 00:54:51,Purchase,749.97,UPI,Success,INR
T000052,A00302,M0070,2024-06-19 20:34:44,Withdrawal,461.05,UPI,Success,INR
T000053,A00392,M0018,2025-12-28 13:43:13,Transfer,2050.55,NetBanking,Success,INR
T000054,A00010,M0078,2024-06-18 19:22:50,Transfer,965.62,UPI,Success,INR
T000055,A00369,M0019,2024-11-17 07:25:20,Purchase,2146.87,ATM,Success,INR
T000056,A00233,M0078,2025-07-20 03:42:48,Purchase,763.15,ATM,Success,INR
T000057,A00195,M0040,2025-03-31 15:05:13,Purchase,2743.86,Wallet,Success,INR
T000058,A00395,M0017,2025-08-25 13:19:29,Bill_Payment,1110.57,Wallet,Failed,INR
T000059,A00012,M0060,2025-09-04 13:33:58,Transfer,2845.31,Card,Success,INR
T000060,A00394,M0099,2024-06-03 02:25:34,Purchase,2762.76,Card,Success,INR
T000061,A00409,M0093,2024-12-14 03:23:17,Purchase,3336.33,UPI,Success,INR
T000062,A00177,M0042,2025-03-26 19:08:15,Bill_Payment,1166.14,NetBanking,Success,INR
T000063,A00177,M0081,2025-10-14 15:47:11,Transfer,1547.58,UPI,Success,INR
T000064,A00217,M0072,2024-06-21 16:07:53,Purchase,891.0,NetBanking,Success,INR
T000065,A00011,M0065,2024-01-10 20:15:25,Purchase,488.86,ATM,Success,INR
T000066,A00446,M0053,2024-09-21 22:21:28,Purchase,6653.96,UPI,Pending,INR
T000067,A00118,M0100,2025-03-13 23:27:55,Bill_Payment,557.3,UPI,Success,INR
T000068,A00164,M0007,2024-09-03 13:58:22,Transfer,2475.95,Card,Success,INR
T000069,A00039,M0005,2025-10-28 04:20:24,Withdrawal,2107.44,NetBanking,Success,INR
T000070,A00053,M0024,2025-06-29 18:41:11,Bill_Payment,1290.71,NetBanking,Success,INR
T000071,A00218,M0028,2025-05-13 06:45:15,Refund,953.85,Card,Success,INR
T000072,A00206,M0062,2024-05-08 04:50:22,Purchase,962.43,NetBanking,Success,INR
T000073,A00312,M0017,2025-11-02 10:52:17,Purchase,607.06,UPI,Success,INR
T000074,A00360,M0020,2025-08-23 20:11:03,Purchase,1193.92,Card,Success,INR
T000075,A00385,M0003,2025-08-27 13:23:52,Purchase,378.7,Card,Success,INR
T000076,A00056,M0037,2024-11-22 21:42:22,Withdrawal,2148.5,UPI,Success,INR
T000077,A00118,M0090,2025-02-07 09:05:43,Bill_Payment,892.76,UPI,Success,INR
T000078,A00388,M0015,2025-09-20 04:20:36,Transfer,461.36,Wallet,Success,INR
T000079,A00253,M0051,2025-08-28 02:48:28,Purchase,347.65,ATM,Success,INR
T000080,A00286,M0048,2025-11-05 20:27:14,Purchase,973.88,Card,Success,INR
T000081,A00268,M0008,2025-09-02 10:03:00,Purchase,1004.85,Wallet,Success,INR
T000082,A00291,M0013,2025-09-16 05:14:43,Bill_Payment,687.97,UPI,Success,INR
T000083,A00333,M0048,2024-12-24 12:20:00,Purchase,1723.59,ATM,Success,INR
T000084,A00180,M0003,2025-08-25 12:46:39,Purchase,1500.57,UPI,Success,INR
T000085,A00415,M0065,2025-12-18 13:19:11,Purchase,1154.12,Card,Pending,INR
T000086,A00358,M0073,2024-01-17 01:59:20,Refund,476.58,UPI,Success,INR
T000087,A00235,M0031,2024-09-30 15:21:02,Transfer,563.4,NetBanking,Success,INR
T000088,A00343,M0026,2025-11-15 05:32:09,Bill_Payment,312.02,UPI,Success,INR
T000089,A00196,M0081,2024-04-25 23:05:33,Withdrawal,923.13,UPI,Success,INR
T000090,A00308,M0056,2025-11-23 03:05:23,Transfer,1816.5,UPI,Success,INR
T000091,A00080,M0034,2024-03-31 07:52:37,Purchase,368.72,UPI,Success,INR
T000092,A00135,M0009,2024-03-22 19:34:56,Purchase,661.8,UPI,Success,INR
T000093,A00022,M0062,2024-11-19 09:19:16,Transfer,1045.65,Card,Success,INR
T000094,A00331,M0013,2024-04-23 23:16:31,Bill_Payment,1814.05,UPI,Success,INR
T000095,A00440,M0069,2024-02-27 17:12:14,Purchase,290.26,UPI,Failed,INR
T000096,A00225,M0041,2024-06-02 21:54:46,Purchase,8086.15,UPI,Success,INR
T000097,A00058,M0077,2025-02-07 08:34:41,Transfer,2158.88,UPI,Success,INR
T000098,A00093,M0001,2025-09-19 05:06:49,Purchase,639.61,Card,Success,INR
T000099,A00192,M0089,2024-09-22 15:23:36,Transfer,418.5,Card,Success,INR
T000100,A00103,M0047,2024-11-10 18:53:02,Purchase,1415.58,Card,Success,INR
T000101,A00396,M0004,2025-12-15 08:30:57,Purchase,1676.99,UPI,Success,INR
T000102,A00007,M0100,2024-02-10 13:35:51,Purchase,449.78,Card,Success,INR
T000103,A00128,M0063,2024-04-14 02:25:52,Transfer,402.34,Card,Success,INR
T000104,A00055,M0052,2024-07-11 03:44:00,Transfer,490.73,UPI,Success,INR
T000105,A00231,M0010,2025-02-04 12:27:44,Purchase,1162.19,UPI,Success,INR
T000106,A00362,M0028,2024-10-04 13:48:11,Bill_Payment,1175.52,UPI,Success,INR
T000107,A00062,M0006,2024-12-19 20:00:35,Purchase,7691.71,UPI,Success,INR
T000108,A00240,M0027,2025-08-02 22:18:23,Purchase,156.27,UPI,Success,INR
T000109,A00090,M0012,2025-12-09 06:12:23,Transfer,599.12,UPI,Success,INR
T000110,A00232,M0062,2024-09-12 05:27:53,Purchase,681.13,UPI,Success,INR
T000111,A00233,M0052,2025-10-12 16:39:14,Transfer,1699.04,Card,Success,INR
T000112,A00354,M0048,2025-10-22 15:11:38,Refund,1761.65,Wallet,Success,INR
T000113,A00333,M0067,2024-04-08 07:22:00,Transfer,916.32,Card,Success,INR
T000114,A00439,M0046,2025-08-10 04:23:04,Transfer,4271.77,Card,Success,INR
T000115,A00375,M0097,2024-10-08 10:34:39,Transfer,401.61,UPI,Success,INR
T000116,A00292,M0074,2025-02-06 12:17:00,Purchase,586.2,UPI,Failed,INR
T000117,A00345,M0095,2024-04-18 05:41:31,Purchase,335.64,UPI,Success,INR
T000118,A00152,M0015,2025-11-30 13:32:00,Purchase,961.08,Card,Success,INR
T000119,A00428,M0071,2024-07-17 04:05:18,Refund,813.59,NetBanking,Success,INR
T000120,A00145,M0036,2024-10-29 09:53:17,Purchase,2225.23,NetBanking,Success,INR
T000121,A00130,M0014,2024-11-22 17:00:17,Purchase,5814.72,UPI,Success,INR
T000122,A00141,M0078,2024-06-02 07:27:12,Bill_Payment,4194.36,UPI,Success,INR
T000123,A00415,M0003,2025-07-05 15:13:38,Withdrawal,364.84,Card,Success,INR
T000124,A00093,M0067,2025-10-06 03:34:24,Refund,1150.58,Card,Success,INR
T000125,A00114,M0086,2025-02-08 02:16:17,Transfer,2201.61,UPI,Success,INR
T000126,A00284,M0019,2025-04-06 12:48:35,Purchase,2001.41,Card,Success,INR
T000127,A00444,M0099,2024-05-11 15:36:50,Bill_Payment,8804.13,UPI,Success,INR
T000128,A00411,M0076,2024-03-24 14:25:54,Purchase,899.79,Card,Success,INR
T000129,A00143,M0054,2025-02-02 03:17:24,Purchase,1176.48,UPI,Success,INR
T000130,A00223,M0069,2025-09-19 20:35:30,Withdrawal,8240.0,Card,Success,INR
T000131,A00232,M0010,2024-04-18 03:43:38,Transfer,1600.27,NetBanking,Success,INR
T000132,A00033,M0033,2024-08-08 09:40:54,Bill_Payment,640.73,ATM,Success,INR
T000133,A00276,M0013,2025-07-06 21:05:55,Refund,456.09,Wallet,Success,INR
T000134,A00170,M0099,2025-01-02 12:12:30,Bill_Payment,1323.67,Card,Success,INR
T000135,A00140,M0051,2024-05-26 18:07:07,Purchase,2863.91,Card,Success,INR
T000136,A00357,M0032,2024-04-21 03:33:55,Transfer,2831.0,UPI,Success,INR
T000137,A00201,M0075,2025-09-06 04:52:13,Withdrawal,500.23,UPI,Success,INR
T000138,A00023,M0024,2025-07-11 02:50:23,Refund,1203.45,UPI,Failed,INR
T000139,A00224,M0035,2025-05-08 02:51:13,Purchase,730.87,UPI,Success,INR
T000140,A00368,M0083,2025-05-19 09:18:39,Purchase,959.93,Card,Success,INR
T000141,A00270,M0070,2025-04-19 06:42:40,Bill_Payment,2477.52,UPI,Success,INR
T000142,A00347,M0040,2024-09-27 20:39:45,Purchase,1048.46,UPI,Failed,INR
T000143,A00153,M0054,2025-02-24 13:36:28,Transfer,1972.83,Card,Success,INR
T000144,A00333,M0044,2025-12-07 02:52:28,Purchase,2026.74,Card,Success,INR
T000145,A00085,M0062,2025-01-01 23:11:00,Purchase,632.78,NetBanking,Failed,INR
T000146,A00109,M0099,2024-10-06 18:45:19,Withdrawal,3314.43,Card,Success,INR
T000147,A00031,M0068,2024-10-09 04:03:49,Purchase,409.23,UPI,Success,INR
T000148,A00229,M0033,2024-02-09 13:37:36,Transfer,351.76,UPI,Success,INR
T000149,A00240,M0077,2024-07-07 03:07:53,Purchase,713.54,NetBanking,Success,INR
T000150,A00378,M0056,2024-06-12 11:13:36,Purchase,455.97,UPI,Success,INR
T000151,A00363,M0036,2025-06-19 02:11:34,Purchase,1890.83,Card,Success,INR
T000152,A00310,M0054,2025-06-19 12:47:53,Withdrawal,11016.5,Card,Success,INR
T000153,A00389,M0019,2024-01-04 12:41:33,Purchase,3026.79,Wallet,Failed,INR
T000154,A00141,M0043,2024-10-16 14:17:46,Transfer,525.69,Card,Success,INR
T000155,A00156,M0012,2025-03-08 06:45:43,Transfer,446.66,Card,Success,INR
T000156,A00299,M0011,2025-04-15 11:58:15,Transfer,2643.14,UPI,Success,INR
T000157,A00345,M0070,2024-06-29 08:39:34,Transfer,377.9,ATM,Success,INR
T000158,A00371,M0012,2024-09-04 14:06:41,Purchase,452.0,Card,Success,INR
T000159,A00099,M0091,2025-09-19 20:07:16,Purchase,1528.68,UPI,Success,INR
T000160,A00047,M0041,2024-10-05 19:15:36,Transfer,673.37,Card,Failed,INR
T000161,A00327,M0025,2025-08-03 11:55:26,Purchase,1220.97,UPI,Success,INR
T000162,A00422,M0003,2024-09-10 20:09:50,Bill_Payment,814.46,UPI,Failed,INR
T000163,A00067,M0003,2024-06-29 10:47:07,Bill_Payment,1069.46,UPI,Failed,INR
T000164,A00062,M0084,2025-11-11 12:26:15,Purchase,2409.02,NetBanking,Failed,INR
T000165,A00109,M0028,2025-05-23 11:26:41,Transfer,1918.63,Card,Success,INR
T000166,A00167,M0023,2025-11-30 08:09:33,Bill_Payment,2503.14,Card,Success,INR
T000167,A00037,M0048,2025-07-19 07:38:45,Purchase,1949.53,Card,Success,INR
T000168,A00119,M0067,2024-11-21 20:10:51,Withdrawal,2074.73,Card,Success,INR
T000169,A00086,M0042,2024-12-22 08:28:06,Purchase,1094.49,UPI,Success,INR
T000170,A00382,M0088,2025-10-11 21:50:04,Transfer,296.18,UPI,Failed,INR
T000171,A00392,M0040,2025-11-10 05:10:40,Bill_Payment,995.63,UPI,Success,INR
T000172,A00052,M0006,2025-01-25 17:04:15,Transfer,1457.29,UPI,Success,INR
T000173,A00091,M0020,2025-09-06 10:02:16,Transfer,1172.39,ATM,Success,INR
T000174,A00289,M0011,2024-03-25 17:20:25,Bill_Payment,1600.25,NetBanking,Success,INR
T000175,A00337,M0096,2024-11-12 15:42:19,Withdrawal,7008.5,UPI,Success,INR
T000176,A00298,M0027,2024-07-30 22:41:04,Transfer,698.29,UPI,Success,INR
T000177,A00204,M0021,2025-05-29 06:55:42,Transfer,761.76,Wallet,Success,INR
T000178,A00368,M0013,2025-01-18 18:59:23,Transfer,3254.58,UPI,Success,INR
T000179,A00238,M0086,2025-11-21 16:16:36,Bill_Payment,1226.74,Card,Success,INR
T000180,A00382,M0035,2024-12-07 22:38:46,Refund,1651.08,UPI,Success,INR
T000181,A00155,M0047,2024-02-07 09:47:35,Withdrawal,643.79,Card,Success,INR
T000182,A00240,M0086,2025-05-25 17:15:29,Withdrawal,567.24,Wallet,Success,INR
T000183,A00136,M0028,2025-02-23 23:45:23,Purchase,370.05,Wallet,Success,INR
T000184,A00407,M0021,2024-06-17 17:18:06,Bill_Payment,1280.69,Card,Success,INR
T000185,A00362,M0018,2024-12-08 04:31:17,Withdrawal,454.53,Card,Success,INR
T000186,A00381,M0031,2024-11-01 00:27:23,Withdrawal,406.98,Card,Failed,INR
T000187,A00369,M0060,2025-06-25 06:35:29,Purchase,1988.11,UPI,Success,INR
T000188,A00064,M0037,2025-12-02 06:03:38,Bill_Payment,619.39,UPI,Success,INR
T000189,A00123,M0021,2025-06-20 18:12:35,Purchase,372.33,ATM,Success,INR
T000190,A00254,M0014,2024-04-21 14:53:49,Purchase,339.33,UPI,Success,INR
T000191,A00114,M0089,2025-02-14 15:23:58,Transfer,2491.28,UPI,Failed,INR
T000192,A00020,M0091,2024-07-24 02:37:37,Transfer,996.4,Card,Success,INR
T000193,A00016,M0060,2024-07-03 16:33:49,Purchase,765.56,ATM,Success,INR
T000194,A00145,M0023,2025-01-16 09:25:22,Withdrawal,1279.62,Card,Success,INR
T000195,A00208,M0095,2025-05-10 02:43:40,Purchase,1174.56,Card,Success,INR
T000196,A00019,M0029,2025-01-13 09:05:50,Purchase,681.02,Card,Success,INR
T000197,A00376,M0047,2024-02-16 10:29:50,Purchase,812.15,NetBanking,Success,INR
T000198,A00392,M0030,2025-07-04 09:33:41,Bill_Payment,2116.79,Card,Success,INR
T000199,A00166,M0090,2025-06-11 18:53:58,Purchase,2303.76,Wallet,Success,INR
T000200,A00038,M0084,2025-05-18 22:50:01,Purchase,515.75,Card,Success,INR
T000201,A00181,M0038,2024-01-22 17:18:45,Transfer,3469.29,UPI,Success,INR
T000202,A00349,M0083,2024-07-31 07:06:40,Purchase,6688.55,NetBanking,Failed,INR
T000203,A00105,M0027,2024-11-05 08:09:54,Withdrawal,843.69,NetBanking,Success,INR
T000204,A00100,M0089,2025-10-22 22:07:02,Bill_Payment,825.68,UPI,Success,INR
T000205,A00090,M0087,2024-09-28 10:02:51,Bill_Payment,488.63,UPI,Success,INR
T000206,A00415,M0093,2025-07-24 17:05:26,Purchase,600.81,ATM,Success,INR
T000207,A00300,M0015,2024-07-20 03:39:09,Transfer,1467.22,UPI,Success,INR
T000208,A00444,M0059,2024-02-01 08:26:34,Transfer,8824.25,Card,Success,INR
T000209,A00332,M0003,2025-03-18 03:59:56,Purchase,2112.24,UPI,Failed,INR
T000210,A00401,M0010,2024-06-10 06:28:44,Purchase,813.28,Card,Success,INR
T000211,A00079,M0079,2024-09-10 13:06:38,Transfer,748.26,NetBanking,Success,INR
T000212,A00073,M0080,2025-06-04 22:58:25,Purchase,603.37,Card,Success,INR
T000213,A00423,M0017,2025-10-12 08:36:56,Refund,2846.68,UPI,Failed,INR
T000214,A00426,M0083,2025-04-24 00:53:14,Withdrawal,881.03,UPI,Success,INR
T000215,A00176,M0011,2024-01-10 08:59:58,Purchase,1650.51,Wallet,Success,INR
T000216,A00396,M0048,2025-12-26 01:19:49,Purchase,886.19,Wallet,Success,INR
T000217,A00096,M0005,2025-05-19 23:48:15,Refund,7377.86,NetBanking,Success,INR
T000218,A00345,M0069,2025-07-13 18:02:47,Purchase,678.06,Card,Success,INR
T000219,A00103,M0064,2025-03-11 16:58:54,Withdrawal,582.3,Card,Success,INR
T000220,A00402,M0014,2024-04-20 19:41:26,Purchase,710.84,Wallet,Failed,INR
T000221,A00224,M0050,2024-06-01 06:56:17,Bill_Payment,1606.17,NetBanking,Success,INR
T000222,A00006,M0026,2025-09-26 00:02:09,Withdrawal,3988.72,NetBanking,Success,INR
T000223,A00122,M0072,2024-04-11 16:34:43,Purchase,1609.29,UPI,Success,INR
T000224,A00236,M0069,2024-07-09 12:35:31,Purchase,2071.27,UPI,Success,INR
T000225,A00427,M0007,2025-12-29 09:37:06,Transfer,1827.72,NetBanking,Success,INR
T000226,A00116,M0016,2025-07-16 13:28:23,Bill_Payment,245.06,UPI,Success,INR
T000227,A00163,M0055,2024-03-21 07:39:09,Purchase,1080.82,Card,Success,INR
T000228,A00226,M0078,2025-05-03 03:25:42,Transfer,824.37,Card,Success,INR
T000229,A00230,M0056,2024-03-28 10:06:57,Purchase,965.74,UPI,Success,INR
T000230,A00182,M0004,2024-07-12 21:15:14,Bill_Payment,522.92,NetBanking,Success,INR
T000231,A00249,M0100,2024-04-13 14:30:49,Withdrawal,2395.81,UPI,Success,INR
T000232,A00318,M0048,2024-04-05 14:37:44,Purchase,1145.53,NetBanking,Success,INR
T000233,A00210,M0017,2025-02-26 02:27:13,Purchase,1139.32,UPI,Success,INR
T000234,A00144,M0036,2024-07-16 16:50:58,Purchase,960.54,Wallet,Failed,INR
T000235,A00392,M0070,2024-01-01 08:11:13,Transfer,622.43,UPI,Success,INR
T000236,A00345,M0080,2025-02-10 00:12:17,Purchase,220.56,NetBanking,Success,INR
T000237,A00096,M0093,2025-01-12 12:57:27,Purchase,1400.4,Card,Success,INR
T000238,A00382,M0100,2024-06-15 17:47:34,Refund,1214.67,UPI,Success,INR
T000239,A00346,M0038,2025-05-23 00:21:39,Purchase,1773.69,Card,Success,INR
T000240,A00244,M0062,2025-09-29 17:34:41,Withdrawal,1170.38,Wallet,Success,INR
T000241,A00086,M0048,2024-11-08 18:17:55,Purchase,415.15,UPI,Success,INR
T000242,A00415,M0010,2025-08-15 09:08:40,Purchase,536.29,UPI,Success,INR
T000243,A00394,M0036,2025-02-21 15:13:56,Purchase,3661.06,UPI,Success,INR
T000244,A00184,M0029,2025-11-11 11:46:21,Transfer,1461.24,UPI,Success,INR
T000245,A00121,M0078,2025-04-21 23:36:11,Transfer,2259.49,Wallet,Success,INR
T000246,A00332,M0004,2024-03-13 15:38:18,Bill_Payment,2507.46,UPI,Success,INR
T000247,A00092,M0044,2024-05-20 06:48:29,Purchase,452.44,Card,Success,INR
T000248,A00070,M0056,2025-08-04 11:41:35,Purchase,807.18,UPI,Success,INR
T000249,A00404,M0042,2024-09-18 14:18:44,Bill_Payment,2024.16,UPI,Success,INR
T000250,A00133,M0100,2024-12-05 18:35:09,Purchase,526.38,UPI,Success,INR
T000251,A00279,M0013,2024-11-03 20:10:18,Purchase,759.44,UPI,Success,INR
T000252,A00137,M0046,2024-09-01 07:05:32,Purchase,687.16,Card,Success,INR
T000253,A00314,M0082,2025-05-29 16:44:45,Withdrawal,564.36,UPI,Success,INR
T000254,A00187,M0033,2024-12-02 05:14:26,Bill_Payment,975.42,NetBanking,Success,INR
T000255,A00221,M0021,2025-07-28 02:06:33,Purchase,708.22,Card,Success,INR
T000256,A00438,M0080,2025-07-14 02:38:15,Purchase,766.1,UPI,Failed,INR
T000257,A00046,M0079,2024-03-16 02:10:37,Withdrawal,1396.35,UPI,Success,INR
T000258,A00278,M0057,2024-06-23 21:18:28,Bill_Payment,2692.65,UPI,Success,INR
T000259,A00192,M0069,2024-04-18 05:11:20,Purchase,2182.27,UPI,Failed,INR
T000260,A00008,M0070,2024-07-01 15:24:36,Bill_Payment,1285.33,Card,Success,INR
T000261,A00379,M0067,2024-07-10 08:25:46,Purchase,4795.54,Wallet,Success,INR
T000262,A00276,M0048,2024-03-05 06:30:12,Purchase,1984.47,Wallet,Success,INR
T000263,A00179,M0076,2025-04-18 08:33:24,Purchase,2262.1,NetBanking,Failed,INR
T000264,A00334,M0100,2024-04-09 18:06:46,Purchase,946.96,UPI,Success,INR
T000265,A00039,M0033,2025-06-27 03:02:14,Purchase,774.37,UPI,Success,INR
T000266,A00293,M0036,2024-05-07 08:32:03,Bill_Payment,1538.29,ATM,Failed,INR
T000267,A00178,M0033,2025-03-27 05:40:05,Purchase,2478.96,Card,Success,INR
T000268,A00162,M0031,2025-01-03 05:12:28,Purchase,1283.05,UPI,Success,INR
T000269,A00331,M0021,2024-02-12 19:39:26,Purchase,620.27,UPI,Success,INR
T000270,A00374,M0027,2025-02-22 12:53:33,Withdrawal,345.42,UPI,Success,INR
T000271,A00104,M0091,2025-05-02 06:12:34,Bill_Payment,264.18,Card,Success,INR
T000272,A00161,M0072,2024-03-18 20:41:30,Purchase,1139.44,Wallet,Success,INR
T000273,A00287,M0062,2024-09-26 04:49:48,Purchase,2285.56,UPI,Success,INR
T000274,A00123,M0096,2025-11-04 10:08:43,Purchase,138.0,UPI,Success,INR
T000275,A00054,M0026,2025-12-01 16:01:33,Purchase,634.78,UPI,Success,INR
T000276,A00428,M0066,2025-12-28 09:55:32,Purchase,548.09,UPI,Success,INR
T000277,A00034,M0012,2024-11-10 11:34:06,Transfer,1542.78,Card,Success,INR
T000278,A00242,M0022,2024-06-16 05:50:21,Withdrawal,601.77,Card,Success,INR
T000279,A00378,M0017,2024-12-04 14:39:36,Transfer,362.34,UPI,Success,INR
T000280,A00113,M0007,2024-07-11 05:18:36,Purchase,633.91,Card,Success,INR
T000281,A00318,M0068,2025-03-28 20:00:09,Purchase,550.52,UPI,Pending,INR
T000282,A00023,M0037,2024-10-09 21:17:00,Transfer,1109.53,Card,Pending,INR
T000283,A00046,M0038,2024-12-01 12:26:11,Transfer,903.87,Card,Success,INR
T000284,A00312,M0096,2025-01-24 07:59:16,Purchase,1633.1,UPI,Success,INR
T000285,A00135,M0011,2025-06-08 22:56:44,Bill_Payment,1090.48,Card,Success,INR
T000286,A00118,M0001,2024-08-27 00:48:39,Purchase,2733.86,UPI,Success,INR
T000287,A00189,M0025,2025-04-27 06:32:30,Purchase,732.79,UPI,Failed,INR
T000288,A00131,M0042,2025-10-20 10:08:44,Purchase,1916.19,UPI,Success,INR
T000289,A00422,M0052,2025-12-16 15:10:06,Refund,1459.82,UPI,Success,INR
T000290,A00212,M0024,2025-08-14 19:06:59,Purchase,840.62,NetBanking,Success,INR
T000291,A00418,M0053,2025-07-08 19:30:27,Bill_Payment,2036.9,UPI,Success,INR
T000292,A00113,M0056,2025-04-02 06:26:52,Purchase,532.72,Card,Success,INR
T000293,A00044,M0063,2024-03-29 11:08:38,Purchase,3347.11,Wallet,Success,INR
T000294,A00128,M0081,2025-10-21 07:56:42,Withdrawal,545.26,UPI,Success,INR
T000295,A00364,M0008,2024-04-04 04:52:20,Purchase,328.13,UPI,Success,INR
T000296,A00158,M0059,2025-03-27 09:57:09,Purchase,305.86,UPI,Success,INR
T000297,A00273,M0045,2025-03-03 15:38:29,Purchase,1190.33,UPI,Success,INR
T000298,A00315,M0027,2024-05-30 18:10:03,Bill_Payment,660.01,UPI,Success,INR
T000299,A00394,M0052,2025-05-28 19:50:55,Transfer,1290.93,NetBanking,Failed,INR
T000300,A00355,M0018,2025-01-10 06:11:17,Purchase,406.5,UPI,Success,INR
T000301,A00340,M0091,2024-01-22 16:34:33,Purchase,1699.83,Card,Success,INR
T000302,A00402,M0086,2024-11-08 04:54:36,Transfer,1294.22,UPI,Success,INR
T000303,A00045,M0016,2025-06-02 11:54:04,Purchase,726.52,UPI,Success,INR
T000304,A00108,M0066,2024-07-24 17:58:28,Purchase,1924.4,UPI,Success,INR
T000305,A00219,M0005,2025-01-09 02:42:32,Purchase,1840.06,UPI,Success,INR
T000306,A00443,M0082,2025-03-26 22:39:08,Transfer,1191.38,UPI,Success,INR
