customer_id,signup_date,city,customer_segment,kyc_status
C0069,2024-01-02,Hyderabad,Student,Verified
C0070,2025-01-24,Ahmedabad,Business,Pending
C0071,2025-07-19,Hyderabad,Premium,Verified
C0072,2024-04-15,Pune,Student,Verified
C0073,2025-04-21,Chennai,Student,Verified
C0074,2025-12-03,Hyderabad,Student,Pending
C0075,2025-02-05,Kolkata,Mass,Verified
C0076,2025-12-30,Bengaluru,Mass,Verified
C0077,2025-07-09,Delhi,Mass,Verified
C0078,2024-06-10,Pune,Student,Verified
C0079,2024-07-20,Delhi,Mass,Verified
C0080,2024-09-26,Kolkata,Premium,Pending
C0081,2024-09-27,Hyderabad,Mass,Verified
C0082,2025-03-31,Hyderabad,Premium,Verified
C0083,2025-04-06,Ahmedabad,Student,Verified
C0084,2025-12-27,Kolkata,Student,Verified
C0085,2024-09-08,Pune,Mass,Verified
C0086,2025-12-02,Ahmedabad,Business,Verified
C0087,2024-10-22,Bengaluru,Premium,Verified
C0088,2025-12-25,Ahmedabad,Mass,Verified
C0089,2025-12-20,Mumbai,Student,Verified
C0090,2024-12-03,Pune,Premium,Verified
C0091,2024-02-22,Mumbai,Mass,Verified
C0092,2024-08-04,Kolkata,Student,Verified
C0093,2024-07-06,Chennai,Mass,Verified
C0094,2025-01-14,Mumbai,Mass,Verified
C0095,2025-05-07,Bengaluru,Mass,Verified
C0096,2024-02-10,Ahmedabad,Mass,Pending
C0097,2024-06-05,Chennai,Mass,Verified
C0098,2024-01-15,Ahmedabad,Premium,Verified
C0099,2024-03-05,Mumbai,Student,Verified
C0100,2025-06-04,Ahmedabad,Student,Rejected
C0101,2024-12-09,Kolkata,Student,Verified
C0102,2024-05-08,Chennai,Student,Verified
C0103,2025-10-09,Kolkata,Premium,Verified
C0104,2025-04-16,Mumbai,Mass,Verified
C0105,2024-03-03,Kolkata,Mass,Verified
C0106,2024-05-18,Bengaluru,Premium,Verified
C0107,2025-05-13,Mumbai,Mass,Verified
C0108,2025-08-15,Mumbai,Premium,Verified
C0109,2025-01-26,Mumbai,Mass,Verified
C0110,2025-11-05,Pune,Student,Verified
C0111,2025-02-22,Ahmedabad,Business,Verified
C0112,2024-10-15,Pune,Premium,Verified
C0113,2025-01-13,Pune,Mass,Verified
C0114,2025-05-04,Bengaluru,Mass,Verified
C0115,2024-08-18,Chennai,Business,Verified
C0116,2024-02-10,Ahmedabad,Business,Verified
C0117,2024-01-28,Kolkata,Mass,Verified
C0118,2024-05-14,Hyderabad,Premium,Verified
C0119,2024-07-19,Mumbai,Mass,Verified
C0120,2024-02-02,Kolkata,Mass,Verified
C0121,2024-02-17,Mumbai,Mass,Verified
C0122,2025-05-17,Bengaluru,Mass,Verified
C0123,2025-02-10,Mumbai,Business,Verified
C0124,2025-07-27,Pune,Premium,Pending
C0125,2025-12-28,Ahmedabad,Mass,Rejected
C0126,2024-04-08,Hyderabad,Student,Verified
C0127,2025-11-14,Delhi,Business,Verified
C0128,2025-12-26,Mumbai,Business,Verified
C0129,2025-06-30,Kolkata,Mass,Verified
C0130,2025-09-04,Pune,Mass,Verified
C0131,2025-04-06,Delhi,Mass,Pending
C0132,2025-10-04,Hyderabad,Mass,Verified
C0133,2024-01-05,Delhi,Mass,Verified
C0134,2024-08-05,Pune,Premium,Verified
C0135,2025-05-17,Ahmedabad,Mass,Verified
C0136,2025-02-01,Ahmedabad,Mass,Verified
C0137,2025-01-27,Chennai,Mass,Verified
C0138,2024-07-25,Ahmedabad,Mass,Pending
C0139,2024-01-15,Chennai,Mass,Verified
C0140,2025-07-07,Delhi,Premium,Verified
C0141,2025-04-05,Bengaluru,Mass,Verified
C0142,2025-11-21,Kolkata,Mass,Verified
C0143,2025-07-28,Kolkata,Mass,Verified
C0144,2024-08-28,Delhi,Premium,Verified
C0145,2025-07-17,Mumbai,Mass,Verified
C0146,2024-04-05,Mumbai,Mass,Verified
C0147,2025-04-29,Ahmedabad,Mass,Pending
C0148,2025-02-10,Kolkata,Business,Pending
C0149,2024-08-18,Kolkata,Mass,Verified
C0150,2025-10-16,Chennai,Premium,Verified
C0151,2024-06-19,Bengaluru,Business,Verified
C0152,2025-06-24,Pune,Mass,Verified
C0153,2024-02-05,Mumbai,Student,Pending
C0154,2025-06-08,Kolkata,Premium,Verified
C0155,2024-06-08,Chennai,Mass,Verified
C0156,2025-11-29,Hyderabad,Mass,Verified
C0157,2024-08-30,Chennai,Student,Verified
C0158,2024-03-26,Mumbai,Premium,Verified
C0159,2025-07-31,Mumbai,Business,Verified
C0160,2025-11-12,Chennai,Mass,Verified
C0161,2025-07-10,Pune,Student,Verified
C0162,2025-07-27,Delhi,Mass,Verified
C0163,2025-10-07,Mumbai,Student,Verified
C0164,2024-01-28,Chennai,Premium,Verified
C0165,2025-09-11,Kolkata,Mass,Pending
C0166,2025-07-09,Chennai,Mass,Pending
C0167,2024-12-05,Bengaluru,Mass,Verified
C0168,2024-11-26,Delhi,Mass,Verified
C0169,2025-10-01,Hyderabad,Mass,Pending
C0170,2025-05-20,Pune,Premium,Verified
C0171,2024-12-13,Ahmedabad,Premium,Verified
C0172,2025-04-17,Hyderabad,Student,Pending
C0173,2024-08-18,Delhi,Business,Verified
C0174,2024-07-08,Delhi,Premium,Verified
C0175,2024-08-12,Delhi,Student,Verified
C0176,2025-01-19,Hyderabad,Student,Verified
C0177,2025-01-11,Kolkata,Mass,Verified
C0178,2024-10-09,Delhi,Mass,Verified
C0179,2025-09-24,Chennai,Mass,Verified
C0180,2025-09-19,Hyderabad,Mass,Verified
C0181,2024-09-15,Ahmedabad,Mass,Verified
C0182,2024-12-24,Delhi,Mass,Verified
C0183,2025-12-10,Chennai,Student,Rejected
C0184,2025-03-31,Kolkata,Student,Verified
C0185,2025-02-14,Bengaluru,Mass,Verified
C0186,2025-10-10,Kolkata,Mass,Pending
C0187,2024-11-13,Ahmedabad,Mass,Verified
C0188,2025-11-07,Delhi,Premium,Verified
C0189,2024-08-12,Ahmedabad,Premium,Verified
C0190,2024-08-21,Hyderabad,Student,Verified
C0191,2025-11-14,Mumbai,Mass,Verified
C0192,2025-10-25,Delhi,Student,Verified
C0193,2025-01-08,Mumbai,Business,Verified
C0194,2025-11-02,Chennai,Mass,Verified
C0195,2025-08-30,Bengaluru,Student,Verified
C0196,2025-04-16,Pune,Premium,Verified
C0197,2024-08-20,Ahmedabad,Premium,Verified
C0198,2025-11-22,Kolkata,Mass,Pending
C0199,2024-04-22,Bengaluru,Student,Verified
C0200,2025-05-11,Delhi,Premium,Verified
C0201,2025-03-17,Mumbai,Student,Verified
C0202,2025-07-17,Kolkata,Business,Verified
C0203,2024-09-24,Mumbai,Premium,Verified
C0204,2025-05-24,Hyderabad,Business,Verified
C0205,2025-01-20,Mumbai,Premium,Verified
C0206,2025-01-21,Hyderabad,Premium,Verified
C0207,2024-04-22,Chennai,Premium,Verified
C0208,2025-09-04,Kolkata,Mass,Verified
C0209,2025-09-16,Kolkata,Student,Verified
C0210,2024-03-21,Pune,Premium,Verified
C0211,2025-11-29,Delhi,Premium,Verified
C0212,2024-04-22,Hyderabad,Business,Pending
C0213,2024-01-02,Pune,Mass,Verified
C0214,2025-10-03,Mumbai,Premium,Verified
C0215,2024-08-07,Mumbai,Premium,Rejected
C0216,2025-07-19,Pune,Student,Pending
C0217,2024-08-12,Kolkata,Premium,Pending
C0218,2025-01-19,Mumbai,Student,Verified
C0219,2025-02-06,Ahmedabad,Student,Verified
C0220,2025-09-29,Chennai,Mass,Verified
C0221,2024-05-09,Chennai,Mass,Verified
C0222,2024-02-22,Ahmedabad,Premium,Verified
C0223,2025-11-14,Pune,Mass,Verified
C0224,2025-12-30,Ahmedabad,Mass,Verified
C0225,2025-11-02,Hyderabad,Premium,Verified
C0226,2025-12-10,Hyderabad,Mass,Pending
C0227,2025-02-19,Pune,Premium,Verified
C0228,2024-09-03,Ahmedabad,Premium,Verified
C0229,2025-03-14,Hyderabad,Premium,Verified
C0230,2024-07-21,Kolkata,Mass,Rejected
C0231,2024-07-02,Ahmedabad,Premium,Verified
C0232,2024-05-02,Kolkata,Mass,Verified
C0233,2025-02-04,Hyderabad,Premium,Rejected
C0234,2024-10-20,Chennai,Mass,Rejected
C0235,2024-10-06,Hyderabad,Student,Verified
C0236,2025-09-01,Kolkata,Premium,Verified
C0237,2024-07-16,Bengaluru,Business,Verified
C0238,2025-05-25,Delhi,Premium,Verified
C0239,2024-05-23,Mumbai,Mass,Verified
C0240,2025-08-31,Ahmedabad,Student,Verified
C0241,2024-07-19,Bengaluru,Mass,Pending
C0242,2024-05-03,Hyderabad,Mass,Verified
C0243,2024-07-05,Chennai,Mass,Pending
C0244,2024-11-21,Pune,Premium,Verified
C0245,2025-04-08,Hyderabad,Premium,Verified
C0246,2024-12-14,Chennai,Mass,Pending
C0247,2025-10-21,Delhi,Student,Verified
C0248,2025-02-06,Hyderabad,Mass,Verified
C0249,2024-12-11,Kolkata,Mass,Pending
C0250,2025-05-25,Pune,Mass,Verified
C0251,2024-05-26,Chennai,Mass,Verified
C0252,2024-05-27,Chennai,Premium,Pending
C0253,2025-12-11,Chennai,Premium,Verified
C0254,2025-05-03,Delhi,Premium,Verified
C0255,2025-10-01,Hyderabad,Mass,Verified
C0256,2025-07-04,Delhi,Mass,Pending
C0257,2024-12-03,Ahmedabad,Mass,Verified
C0258,2025-10-02,Mumbai,Student,Rejected
C0259,2025-04-17,Mumbai,Mass,Verified
C0260,2024-05-30,Ahmedabad,Premium,Verified
C0261,2025-02-18,Hyderabad,Business,Verified
C0262,2024-10-24,Kolkata,Premium,Rejected
C0263,2025-09-02,Delhi,Business,Verified
C0264,2024-09-19,Pune,Mass,Verified
C0265,2024-05-23,Chennai,Student,Verified
C0266,2024-12-11,Chennai,Premium,Verified
C0267,2025-09-15,Hyderabad,Student,Verified
C0268,2025-07-25,Kolkata,Mass,Verified
C0269,2024-01-02,Mumbai,Mass,Verified
C0270,2024-10-30,Mumbai,Mass,Verified
C0271,2024-09-10,Chennai,Premium,Verified
C0272,2025-10-13,Hyderabad,Student,Verified
C0273,2025-03-28,Delhi,Student,Verified
C0274,2024-02-06,Mumbai,Mass,Pending
C0275,2024-06-08,Delhi,Student,Verified
C0276,2024-01-09,Kolkata,Mass,Verified
C0277,2024-08-20,Mumbai,Mass,Pending
C0278,2024-04-08,Mumbai,Mass,Verified
C0279,2025-10-20,Bengaluru,Student,Verified
C0280,2024-07-26,Mumbai,Mass,Verified
C0281,2024-05-10,Ahmedabad,Premium,Verified
C0282,2025-02-07,Pune,Student,Verified
C0283,2024-05-31,Ahmedabad,Mass,Verified
C0284,2024-02-23,Hyderabad,Premium,Verified
C0285,2024-04-29,Hyderabad,Mass,Verified
C0286,2025-11-03,Delhi,Mass,Verified
C0287,2025-09-19,Ahmedabad,Premium,Verified
C0288,2025-08-09,Ahmedabad,Mass,Verified
C0289,2025-09-16,Ahmedabad,Premium,Verified
C0290,2025-02-23,Kolkata,Premium,Verified
C0291,2025-02-25,Mumbai,Premium,Verified
C0292,2024-04-13,Pune,Student,Verified
C0293,2024-09-10,Delhi,Premium,Verified
C0294,2024-08-14,Ahmedabad,Premium,Pending
C0295,2024-04-21,Ahmedabad,Premium,Verified
C0296,2025-05-24,Bengaluru,Mass,Verified
C0297,2025-04-17,Delhi,Mass,Verified
C0298,2024-04-08,Ahmedabad,Student,Verified
C0299,2024-06-01,Delhi,Premium,Rejected
C0300,2024-12-03,Mumbai,Mass,Verified
